,질병명,축종,정의,주요증상
215,농흉(Pyothorax ),"개, 고양이","흉강내에 농즙이 저류되어 있는 삼출성 화농성 흉막염 ",가슴 흉강타진시둔탁한부위 과도한침흘림 유연 입에거품 구강점막의울혈 홍반 발적 구토 기침 다뇨증 다음 많이마심 지나친갈증 다호흡 빠른호흡(빈호흡) 과호흡 뒷발 발가락종창 종괴 림프절종대 림프절병증 종창 종괴 목의경직 뻣뻣한목 무기력 침울 졸림 생기없음 발열 고열 발작 실신 경련 간질발작 허탈 복강외부압박에따른통증 복수 비정상의폐포음 흉강음 랏셀음 염발음 천명음 마찰음 빈맥 빠른맥박 심박 서맥 느린심박동이나맥박 설사 하리 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 심음의감소 심잡음 앞발 발가락종창 종괴 운동기피 쉽게지침 저체온증 낮은체온 점막 피부창백 빈혈 점액양비강분비물 장액성 수양성 청색증 피부나점막이푸름 체중감소 탈수 폐포음감소 호흡음이없음 피부누관 공동형성 피부또는피하의종창 종괴 결절 피부부종 호흡곤란 개구호흡 그르렁거림 가쁜호흡 화농성비강분비물 흉부 흉곽 늑골 흉골의통증
216,록키산 홍반열(Rocky mountain spotted fever),"개, 고양이","사람과 개에 영향을 미치는 Rickettsia rickettsii 에 의해서 일어나는 진드기 매개 리켓치아성 질병","간 비장종대 비장종대 간종대 거리감각불능 거리감각과대및과소 결막 공막부종 결막 공막의발적 결막 공막의충혈 혈관의이상 구강점막의궤양 수포 플라크(반) 농포 미란 절창 구토 기립불능 다우너 기침 난청 귀머거리 눈물흘림 장액성분비물 축축한눈 눈의화농성분비물 다뇨증 다음 많이마심 지나친갈증 다호흡 빠른호흡(빈호흡) 과호흡 단백뇨 뒷다리반사이상(증가나감소) 뒷다리양쪽부전마비 무기력 마비 뒷다리종창 종괴(관절부/비관절부포함) 뒷다리통증 뒷다리파행 경직 절름발이 뒷발 발가락종창 종괴 림프절종대 림프절병증 종창 종괴 망막출혈 망막혈관크기이상 머리기울기 목 경부 목구멍통증 목의경직 뻣뻣한목 무기력 침울 졸림 생기없음 발열 고열 실신 경련 간질발작 허탈 복강외부압박에따른통증 부정맥 불규칙한심박및맥박 비정상의폐포음 흉강음 랏셀음 염발음 천명음 마찰음 비정상적또는공격적행동 습성이바뀜 비정상적인자세 비출혈 코피 빈맥 빠른맥박 심박 사지마비 무기력 산통 복통 선회운동 설사 하리 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 실명 시력상실 심음의감소 안구전방출혈 ""블랙아이"" 안구진탕 안구불수의적운동 앞다리종창 종괴(관절부/비관절부위포함) 앞다리통증 앞다리파행 경직 절름발이 앞발 발가락종창 종괴 요통 허리통증 운동실조 협조불능 절뚝거림 넘어짐 유착증 유착 음경 포피 고환 음낭의종대 종괴 음낭통증 이동거부 전신파행 경직 절름발이 점막 피부창백 빈혈 점상또는반상출혈 타박상 점액양비강분비물 장액성 수양성 지각과민 예민함 과다운동 진전 체중감소 탈수 피부괴사 가피 괴저 피부부종 피부통증 피부 털 깃털에기생충 피부 털 깃털이축축함 피부의궤양 미란 찰과상 피부홍반 염증 발적 핍뇨 무뇨증 요정체 혈뇨 혈변 혈변 분변내잠혈 혈색소뇨 근색소뇨 호흡곤란 개구호흡 그르렁거림 가쁜호흡 혼수 혼미 화농성비강분비물 황달 흉부종창 흉부 가슴 늑골 흉골의종괴"
217,"가임신, 위임신(False pregnancy, pseudopregnancy)","개, 고양이","개가 실제 임신하지 않았는데도 불구하고 복부 팽만, 유방의 종대, 유즙 분비, 보금자리 만들기 등 이상행동을 보이는 증상",구토 다식증 과도한식욕 무기력 침울 졸림 생기없음 복부팽만 비정상적또는공격적행동 습성이바뀜 설사 하리 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 유선 유방통증 유선 유방의부종 유선 유방의열감 유선 유방이단단함 유선의종대 종괴 유방비대 여성형유방 유즙분비과다 지각과민 예민함 과다운동
218,세르톨리 세포 종양(Sertoli cell tumor),"개, 고양이","개에서 일반적인 고환종양",간 비장종대 비장종대 간종대 고환결손 잠복 구토 다뇨증 다음 많이마심 지나친갈증 림프절종대 림프절병증 종창 종괴 무기력 침울 졸림 생기없음 배뇨곤란 배변량감소 변비 배변안됨 복강외부압박에따른통증 복강외부종창 종괴 복강내부종괴 종창 유착 복부팽만 설사 하리 성욕 발기부전 수척 건강상태불량 증체율불량 수컷불임 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 유선의종대 종괴 유방비대 여성형유방 음경 포피 고환 음낭의종대 종괴 음낭 고환크기이상 적색뇨 갈색뇨 전신허약 부전마비 마비 체중감소 탈모 무모증 피부또는피하의종창 종괴 결절 피부부종 피부색소과잉침착 피부가비쩍마름 야윈피부 혈뇨
219,횡문근육종(Rhabdomyosarcoma),"개, 고양이","횡문근(성축)이나 배아, 다능성 중배엽세포(연소축) 유래의 악성 종양.",골반및회음부의종창 종괴 뒷다리파행 경직 절름발이 등부위부어오름 종창 종괴 앞다리종창 종괴(관절부/비관절부위포함) 앞다리파행 경직 절름발이 전신파행 경직 절름발이 피부또는피하의종창 종괴 결절 피부의궤양 미란 찰과상 흉부종창 흉부 가슴 늑골 흉골의종괴
220,횡문근종(Rhabdomyoma),"개, 고양이","횡문근의 양성 종양",골반및회음부의종창 종괴 뒷다리파행 경직 절름발이 등부위부어오름 종창 종괴 앞다리종창 종괴(관절부/비관절부위포함) 앞다리파행 경직 절름발이 전신파행 경직 절름발이 피부또는피하의종창 종괴 결절 피부의궤양 미란 찰과상 흉부종창 흉부 가슴 늑골 흉골의종괴
221,"회충감염증(Ascariasis, roundworm)","개, 고양이","선충류인 Toxocara canis(개회충), Toxocara cati(고양이회충), Toxascaris leonina(사자회충)의 감염증, 성충은 소장에 기생, 복통을 유발, 위운동과 음식물의 흡수를 방해, 유충의 체내이행으로 장기나 조직에 이행하여 해당부위에 장애를 일으킴.",거친피모 곤두선털 구토 급사 돌연사 기침 눈내부종괴종창 망막색소침착이상 망막반사이상 발육정지 체중증가없음 성장지연 배변량감소 변비 배변안됨 복강외부압박에따른통증 복부팽만 분변내기생충 빈맥 빠른맥박 심박 산통 복통 설사 하리 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 유산 허약한새끼분만 사산 점막 피부창백 빈혈 점액변 점액양분변 지각과민 예민함 과다운동 체중감소 탈수
222,패혈증성 쇼크(Septic shock),"개, 고양이"," 전신감염에 의한 합병증으로 나타나는 현상", 구강점막의건조 구강점막의울혈 홍반 발적 구토 다호흡 빠른호흡(빈호흡) 과호흡 떨림 전율 오한 모세혈관재충만시간지연 무기력 침울 졸림 생기없음 발열 고열 복강외부압박에따른통증 복명(장연동음)감소 장폐쇄증 심방빈맥 빈박 서맥 느린심박동이나맥박 설사 하리 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 약맥 소맥 운동기피 쉽게지침 저체온증 낮은체온 전신허약 부전마비 마비 점액변 점액양분변 지각과민 예민함 과다운동 점막 피부창백 빈혈 청색증 피부나점막이푸름 탈수 피부 귀 다리냉감 핍뇨 무뇨증 요정체 혈변 호흡곤란 개구호흡 그르렁거림 가쁜호흡 혼수 혼미 황달
223,"방광의 횡문근육종(Rhabdomyosarcoma, urinary bladder)","개, 고양이","발생중인 Mullerian 또는 Wolffian duct를 싸고있는 중배엽 기원의 다능성 또는 횡문근모세포(striated myoblastic cell) 유래의 악성종양.",골반및회음부의종창 종괴 뒷다리파행 경직 절름발이 등부위부어오름 종창 종괴 배뇨곤란 빈뇨 앞다리종창 종괴(관절부/비관절부위포함) 앞다리파행 경직 절름발이 전신파행 경직 절름발이 피부또는피하의종창 종괴 결절 피부의궤양 미란 찰과상 흉부종창 흉부 가슴 늑골 흉골의종괴 혈뇨 
224,백신에 의한 육종 (Vaccine associated sarcoma),고양이,"예방 접정후 접종부위에 평활근육종, 연골육종, 골육종, 악성섬유성 조직구종을 나타내는 질병  ",피부또는피하의종창 종괴 결절
225,표재성 괴사성 피부염(Superficial necrolytic dermatitis),"개, 고양이","간질환이나 당뇨에 의해 피하에 병변이 나타나는 피부질환",과각화증 두꺼운피부 구토 다뇨증 다식증 과도한식욕 다음 많이마심 지나친갈증 다호흡 빠른호흡(빈호흡) 과호흡 당뇨 뒷다리파행 경직 절름발이 뒷발통증 뒷발 발가락종창 종괴 무기력 침울 졸림 생기없음 발열 고열 복강외부압박에따른통증 설사 하리 소양감 가려움 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 앞다리파행 경직 절름발이 앞발통증 앞발 발가락종창 종괴 전신파행 경직 절름발이 체중감소 케톤뇨 우유나뇨중에케톤체 탈모 무모증 탈수 피부구진 피부균열 열구 피부농포 피부부종 피부수포 대수포 물집 피부인설 비듬 비늘 피부통증 피부플라크(반) 피부 털 깃털이축축함 피부색소침착감소 백반증 백피증 피부의가피 딱지 피부의궤양 미란 찰과상 피부홍반 염증 발적 황달
226,중피세포종(Mesothelioma),"개, 고양이","주로 체강 중피 안쪽에 나타난는 드문 종양으로 개는 주로 흉강, 심막낭, 복강과 음낭의 협막 외피에 나타나며, 고양이는 흉강, 심막낭, 복낭에 나타나며 잘 증식함",1위운동성저하 위무력증 위운동성의횟수와강도감소 가슴 흉강타진시둔탁한부위 고창증 기립불능 다우너 기침 다호흡 빠른호흡(빈호흡) 과호흡 말초정맥확장 경정맥확장 무기력 침울 졸림 생기없음 무유증 유즙생산감소 정지 발열 고열 배변량감소 변비 배변안됨 복강내부종괴 종창 유착 복부팽만 복수 심방빈맥 빈박 산통 복통 서맥 느린심박동이나맥박 설사 하리 수척 건강상태불량 증체율불량 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 심음의감소 약맥 소맥 운동기피 쉽게지침 음경 포피 고환 음낭의종대 종괴 음낭 고환크기이상 이급후증 배변곤란 이동거부 점막 피부창백 빈혈 청색증 피부나점막이푸름 체중감소 탈수 폐포음감소 호흡음이없음 피부부종 핑사운드(우측) 가스찬내장청진 호흡곤란 개구호흡 그르렁거림 가쁜호흡 흉부종창 흉부 가슴 늑골 흉골의종괴
227,서맥(Sinus bradicardia),"개, 고양이","동방 결절의 정상 파동보다 더 느려진 상태",서맥 느린심박동이나맥박
228,피하 약진(Cutaneous drug eruption),"개, 고양이","약물을 투여한 결과로 원하지 않은 피부발진이 발생하는 경우를 말함. ",구강통증 구강점막및혀의통증 구강점막의궤양 수포 플라크(반) 농포 미란 절창 무기력 침울 졸림 생기없음 발열 고열 소양감 가려움 식욕부진 식욕감소 식욕절폐 젖을안먹임 먹이공급중단 점상또는반상출혈 타박상 탈모 무모증 피부괴사 가피 괴저 피부구진 피부농포 피부또는피하의종창 종괴 결절 피부부종 피부수포 대수포 물집 피부인설 비듬 비늘 피부통증 피부팽진 발진 피부플라크(반) 피부 털 깃털이축축함 피부의가피 딱지 피부의궤양 미란 찰과상 피부홍반 염증 발적
229," 허피스바이러스 감염증, 개(Canine herpesvirus infection)",개,"임신한 개에서 유산, 사산, 미이라 및 조산을 유발하고 강아지에서는 패혈증을 일으키는 바이러스성 질병",각막의궤양 미란 각막의부종 각막혼탁 각막의비정상적인색소침착 각막혈관신생 판누스 결막 공막의발적 결막 공막의충혈 비정상적인혈관 결막부종 결막공막의부종 과도한유연 침흘림 타액분비과다 입에거품 구강점막의궤양 수포 플라크(반) 농포 미란 열창 급사 돌연사 기침 눈물의감소 안구건조증 눈물흘림 유루 장액성안구분비물 젖은눈 눈부심 수명 눈의통증 안통 눈의화농성분비물 무기력 침울 졸림 생기없는 불안 발열 고열 고체온 비정상적인폐 흉강의소리 수포음 약설음 씨근거리는소리 마찰음 비출혈 코피 산동 확장된동공 상부기도에서의비정상호흡음 공기흐름폐쇄 코고는소리 식욕부진 식욕감소 식욕절폐 실명 시력상실 안검연축 유산 허약한새끼분만 사산 인두의홍반 발적 재채기 전신무력 마비 점액성 장액성 수양성비강분비물 제3안검탈출 순막의돌출 체중감소 축동 동공축소 동공수축 탈모 무모증 탈수 피부수포 소수포 물집 피부인설 비듬 피부의가피 딱지 피부의궤양 미란 찰과상 혀의궤양 수포 미란 궤양 물집 열상 열창 호흡곤란 개구호흡 그르렁거림 가쁜호흡 화농성비강분비물 
